iter	Passed	Remaining
402	13251	19630
403	13281	19593
404	13308	19551
405	13340	19517
406	13373	19485
407	13407	19453
408	13437	19417
409	13463	19374
410	13490	19332
411	13521	19298
412	13559	19272
413	13592	19239
414	13620	19199
415	13646	19158
416	13670	19112
417	13705	19082
418	13732	19041
419	13757	18998
420	13784	18957
421	13806	18910
422	13831	18867
423	13854	18820
424	13893	18796
425	13921	18757
426	13945	18713
427	13972	18673
428	13998	18632
429	14028	18596
430	14052	18552
431	14093	18530
432	14113	18481
433	14138	18438
434	14181	18419
435	14203	18373
436	14227	18329
437	14250	18285
438	14279	18247
439	14310	18213
440	14333	18169
441	14363	18133
442	14398	18103
443	14435	18076
444	14464	18040
445	14495	18005
446	14532	17979
447	14560	17940
448	14593	17909
449	14623	17873
450	14654	17839
451	14677	17795
452	14704	17755
453	14738	17724
454	14764	17685
455	14798	17654
456	14828	17619
457	14857	17581
458	14897	17558
459	14932	17528
460	14961	17492
461	14984	17449
462	15015	17415
463	15039	17372
464	15065	17333
465	15113	17318
466	15155	17297
467	15192	17269
468	15236	17251
469	15277	17227
470	15307	17192
471	15343	17163
472	15377	17132
473	15404	17094
474	15446	17072
475	15485	17046
476	15535	17034
477	15593	17028
478	15629	16999
479	15663	16969
480	15698	16938
481	15725	16900
482	15753	16862
483	15779	16822
484	15815	16793
485	15847	16761
486	15870	16717
487	15902	16684
488	15934	16651
489	15970	16622
490	16008	16594
491	16051	16573
492	16092	16548
493	16119	16510
494	16155	16482
495	16185	16446
496	16219	16415
497	16250	16380
498	16283	16348
499	16320	16320
500	16360	16294
501	16422	16291
502	16468	16271
503	16496	16235
504	16525	16198
505	16549	16157
506	16580	16122
507	16607	16084
508	16631	16043
509	16655	16002
510	16679	15961
511	16708	15925
512	16740	15892
513	16768	15855
514	16797	15818
515	16830	15786
516	16868	15758
517	16903	15728
518	16934	15694
519	16975	15670
520	17010	15639
521	17043	15606
522	17078	15576
523	17103	15536
524	17145	15512
525	17189	15490
526	17232	15466
527	17271	15440
528	17304	15407
529	17336	15374
530	17375	15346
531	17407	15313
532	17435	15276
533	17466	15242
534	17493	15204
535	17518	15165
536	17542	15125
537	17579	15096
